video_id,title,contract_id,category,category_sub1_name,category_sub2_name,season,phase,series_name,updated_at
CtgpmWfbuJM,N?n nh‚n v? l? h?i ‚m nh?c s? d?ng lo?i ma t˙y n‡o? | VTC14,177,News,TV,,,,,9/21/2018 3:20
1P16wGsGS6M,VÏ sao b„o Mangkhut cÛ nhi?u b?t th??ng?| VTC14,177,News,TV,,,,,9/21/2018 3:20
N5LasoJHvls,Thi?u niÍn nghi b?t cÛc tr? v? sau 10 n?m ?„ nÛi d?i m?i ng??i | VTC14,177,News,TV,,,,,9/21/2018 3:20
5oykPqfhyEw,"Th?i ti?t du l?ch 17/09/2018:20/9 th?i ti?t B?c B? s? chuy?n t?t lÍn, tr?i gi?m m‚y, h?ng n?ng|VTC14",177,News,TV,,,,,9/21/2018 3:20
VGNlmGuAda4,Th?c h? v? d‚u t‚y b? g?m kim nh?n bÍn trong | VTC14,177,News,TV,,,,,9/21/2018 3:20
qP49YacAU8s,Th?i ti?t c·c th‡nh ph? l?n 18/09/2018: TP HCM m?a dÙng v?n x?y ra trÍn khu v?c dao ??ng 31 ??|VTC14,177,News,TV,,,,,9/21/2018 3:20
AMuh68uXiSE,HÛa ch?t trang ?i?m ?nh h??ng ??n hormone ph? n? | VTC14,177,News,TV,,,,,9/21/2018 3:20
44XGH5--1yg,"Th?i ti?t 6h 18/09/2018:H‡ n?i v?n kh· m·t m?, nhi?t ?? ng‡y hÙm nay ch? dao ??ng t? 26-29 ??| VTC14",177,News,TV,,,,,9/21/2018 3:20
tWqSAryfBdg,ìNg?a hoangî Tu?n H?ng ?„ thu?n ph?c? | VTC14,177,Show,Talk show,,,,,9/21/2018 3:20
XsP0cvXbq6k,T? b? th?t chÛ - khÛ hay d? ??u do con ng??i| VTC14,177,Show,Talk show,,,,,9/21/2018 3:20
rBv0YwF8uEU,Th?i ti?t c·c th‡nh ph? l?n 19/09/2018: TP HCM v‡ C?n Th? tr?i m·t m? | VTC14,177,News,TV,,,,,9/21/2018 3:20
7WKYoKvsGmk,Tr? l?i ?p ˙ng Tr?n Ti?u Vy v?n l‡ T‚n Hoa h?u Vi?t Nam 2018   | VTC14,177,News,TV,,,,,9/21/2018 3:20
TYGmcJOXIxg,Th?i ti?t 6h 19/09/2018: M?a cÛ xu h??ng gi?m d?n ? mi?n B?c | VTC14,177,News,TV,,,,,9/21/2018 3:20
z7byf08EmTw,S?c ma t˙y gi?t ng??i nhanh t?i m?c n‡o?| VTC14,177,News,TV,,,,,9/21/2018 3:20
axl7WqYcd58,Th?i ti?t cu?i ng‡y 18/09/2018: ?Ùng B?c b? m?a trÍn di?n r?ng | VTC14,177,News,TV,,,,,9/21/2018 3:20
6_dKWm7EUwI,Nghi v?n thi?u niÍn t? tÏm v? quÍ sau 10 n?m b? b·n sang Trung Qu?c| VTC14,177,News,TV,,,,,9/21/2018 3:20
J8rvQwSukJs,Th?i ti?t t?ng h?p 18/09/2018: ?nh h??ng c?a ho‡n l?u suy y?u b„o s? 6 | VTC14,177,News,TV,,,,,9/21/2018 3:20
zcWcv0Ej3Tc,NguyÍn nh‚n g‚y t? vong 7 ìd‚n ch?iî sau ??i nh?c h?i | VTC14,177,News,TV,,,,,9/21/2018 3:20
